show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s4038,Movie,Nappily Ever After,Haifaa Al-Mansour,"['Sanaa Lathan', 'Ricky Whittle', 'Lynn Whitfield', 'Lyriq Bent', 'Ernie Hudson']",United States,"March 7, 2019",2018,TV-MA,99 min,"['comedy', 'drama', 'romance']","When a perfectionist ad exec experiences a romantic setback, she embarks on a journey of self-discovery that begins with a dramatic hair makeover."
s2144,Movie,"Rob Schneider: Asian Momma, Mexican Kids",Tyler Spindel,['Rob Schneider'],United States,"August 11, 2020",2020,TV-MA,44 min,['comedy'],"Former ""Saturday Night Live"" star Rob Schneider returns to the stage and shares his take on life, love and dinosaur dreams in this stand-up special."
s3534,Movie,Kill Me If You Dare,Şenol Sönmez,"['Murat Boz', 'Seda Bakan', 'Açelya Topaloğlu', 'Özgür Emre Yıldırım', 'Seda Güven', 'Yosi Mizrahi', 'Dilşad Şimşek', 'Ali Yoğurtçuoğlu']",Turkey,"September 6, 2019",2019,TV-14,100 min,"['comedy', 'international', 'romance']","Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part."
s6590,Movie,Defying the Nazis: The Sharps' War,"Ken Burns, Artemis Joukowsky","['Tom Hanks', 'Marina Goldman']",United States,"May 1, 2017",2016,TV-14,79 min,['documentary'],"This film documents the story of minister Waitstill Sharp and his wife, Martha, who risked everything to save thousands of refugees fleeing the Nazis."
s2665,TV Show,ChuChu TV Nursery Rhymes & Kids Songs (Hindi),,,India,"April 18, 2020",2019,TV-Y,1 Season,['family'],This educational series for tiny tots features a toe-tapping spin on nursery rhymes with upbeat tunes and a diverse set of easy-to-follow lessons.
s5823,TV Show,Cocaine,,,United Kingdom,"August 1, 2016",2005,TV-14,1 Season,"['british', 'crime', 'documentary']","Three films chronicle the cocaine trade's sweeping impact on the citizens of Peru, Brazil and Colombia, from poor farmers to powerful drug lords."
s6900,Movie,Growing Up Coy,Eric Juhola,,United States,"January 6, 2017",2016,TV-PG,82 min,"['documentary', 'lgbtq']","Filmmakers follow a Colorado family's highly public battle for the rights of their transgender daughter, Coy, in a landmark civil rights case."
s5294,Movie,Berserk: The Golden Age Arc III - The Advent,Toshiyuki Kubooka,"['Hiroaki Iwanaga', 'Takahiro Sakurai', 'Toa Yukinari', 'Yuki Kaji', 'Yoshiro Matsumoto', 'Minako Kotobuki', 'Takahiro Fujiwara', 'Kazuki Yao', 'Yuichi Nakamura', 'Aki Toyosaki', 'Akio Otsuka']",Japan,"September 1, 2017",2013,TV-MA,107 min,"['action', 'adventure', 'anime', 'international']","A year after he left the Band of the Hawk, Guts rejoins them in an epic battle to vanquish the God Hand and save Griffith from a hellish fate."
s5886,TV Show,W/ Bob & David,,"['David Cross', 'Bob Odenkirk', 'John Ennis', 'Jay Johnston', 'Brian Posehn', 'Jill Talley', 'Paul F. Tompkins', 'Tom Kenny', 'Brett Paesel']",United States,"November 13, 2015",2015,TV-MA,1 Season,['comedy'],"After being dishonorably discharged from the Navy Seals, Bob and David are back serving our country the way they do best – making sketch comedy."
s8037,Movie,Sleeping with Other People,Leslye Headland,"['Jason Sudeikis', 'Alison Brie', 'Adam Scott', 'Jason Mantzoukas', 'Natasha Lyonne', 'Adam Brody', 'Amanda Peet']",United States,"October 2, 2017",2015,R,101 min,"['comedy', 'drama', 'independent']","Many years after hooking up in college, two people cross paths and realize they are both serial philanderers who need each other's help to reform."
s1462,Movie,Mystic Pizza,Donald Petrie,"['Annabeth Gish', 'Julia Roberts', 'Lili Taylor', ""Vincent D'Onofrio"", 'William R. Moses', 'Adam Storke', 'Conchata Ferrell', 'Joanna Merlin', 'Porscha Radcliffe', 'John Fiore']",United States,"January 1, 2021",1988,R,104 min,"['comedy', 'drama', 'independent']","In a small fishing town, three teenage girls from blue-collar families navigate life and love while working in a pizza parlor."
s2432,Movie,Spelling the Dream,Sam Rega,,United States,"June 3, 2020",2020,TV-G,83 min,"['family', 'documentary']","Following four hopeful competitors, this documentary explores Indian Americans' decades-long success at the biggest spelling contest in the U.S."
s4276,Movie,Struggle: The Life and Lost Art of Szukalski,Irek Dobrowolski,,"Poland, United States","December 21, 2018",2018,TV-MA,105 min,['documentary'],"Artists in LA discover the work of forgotten Polish sculptor Stanislav Szukalski, a mad genius whose true story unfolds chapter by astounding chapter."
s1830,Movie,West Beirut,Ziad Doueiri,"['Rami Doueiri', 'Mohamad Chamas', 'Rola Al Amin', 'Carmen Lebbos', 'Joseph Bou Nassar', 'Liliane Nemri']","France, Norway, Lebanon, Belgium","October 19, 2020",1999,TV-MA,106 min,"['drama', 'international']","Three intrepid teens roam the streets of Beirut in the midst of civil war, filming on a Super 8 camera and reckoning with the pains of growing up."
s3627,Movie,Misfit,Erwin van den Eshof,"['Djamila', 'Niek Roozen', 'Bente Fokkens', 'Jolijn Henneman', 'Fenna Ramos', 'Jill Schirnhofer', 'Donny Roelvink', 'Défano Holwijn', 'Luca Gilliot']",Netherlands,"August 3, 2019",2017,TV-14,81 min,"['family', 'comedy', 'international']","After living in America for years, a teenage girl moves back to the Netherlands and is quickly singled out as a misfit by the popular clique at school."
s3882,TV Show,K.O.3an Guo,,"['George Hu', 'Chen De-xiu', 'Bo Yan', 'Lorene Ren', 'Tsai Yi-chen', 'Benjamin H. Wang', 'Wes Lo', 'Shao Xiang', 'Pets Tseng', 'Nylon Chen', 'Wu Xiong']",Taiwan,"April 30, 2019",2009,TV-14,1 Season,"['international', 'comedy', 'sci-fi', 'fantasy']","In the Silver Dimension, Liu Bei, Guan Yu and Zhang Fei plan to enroll in an elite academy as sworn brothers, but KO One visitors derail the plan."
s3965,TV Show,Osmosis,,"['Agathe Bonitzer', 'Hugo Becker', 'Gaël Kamilindi', 'Manoël Dupont', 'Stéphane Pitti', 'Luna Silva', 'Yuming Hey', 'Suzanne Rault-Balet', 'Philypa Phoenix', 'Lena Lapres', 'Waly Dia', 'Aurélia Petit', 'Lionel Lingelser', 'Fabien Ducommun']",France,"March 29, 2019",2019,TV-MA,1 Season,"['international', 'drama', 'mystery']","In near-future Paris, two brilliant siblings unveil a high-tech implant designed to pair up soul mates. But the beta test yields unwelcome surprises."
s6501,Movie,Closed Circuit,John Crowley,"['Eric Bana', 'Rebecca Hall', 'Ciarán Hinds', 'Riz Ahmed', 'Anne-Marie Duff', 'Kenneth Cranham', 'Julia Stiles', 'Jim Broadbent', 'Denis Moschitto', 'Barbora Bobulova', 'Jemma Powell']","United Kingdom, United States","October 16, 2017",2013,R,96 min,"['drama', 'thriller']","Martin and Claudia, top-flight lawyers who happen to be former lovers, become targets when they're teamed up to defend a notorious terrorist."
s5061,Movie,Fakkah Fuzz: Almost Banned,Michael McKay,['Fakkah Fuzz'],Singapore,"January 26, 2018",2018,TV-MA,61 min,['comedy'],Stand-up comic Fakkah Fuzz mines cross-cultural humor from the experience of growing up as an outspoken Malay man in Singapore.
s3395,Movie,ChuChuTV Bedtime Stories & Moral Stories for Kids (English),,,,"October 18, 2019",2019,TV-Y,47 min,['family'],"ChuChu teaches some bullies a lesson, Cussly learns the value of teamwork and ChaCha realizes there’s more to playtime than TV and video games."
s8351,Movie,The Human Factor: The Untold Story of the Bombay Film Orchestras,Rudradeep Bhattacharjee,,India,"April 1, 2017",2013,TV-PG,53 min,"['documentary', 'international', 'music']",A family of Parsi musicians collectively works for over 60 years scoring the orchestral soundtracks for some of Bollywood's most memorable films.
s801,Movie,Mosquita y Mari,Aurora Guerrero,"['Fenessa Pineda', 'Venecia Troncoso', 'Joaquín Garrido', 'Laura Patalano', 'Dulce Maria Solis', 'Marisela Uscanga', 'Melissa Uscanga', 'Omar Leyva', 'Tonita Castro', 'Paul Alayo']",United States,"June 2, 2021",2012,TV-14,85 min,"['drama', 'independent', 'lgbtq']","Neighbors but by no means friends, high schoolers Yolanda and Mari discover a bond and an attraction when they're made study partners."
s4834,Movie,Alex Strangelove,Craig Johnson,"['Daniel Doheny', 'Madeline Weinstein', 'Antonio Marziale', 'Daniel Zolghadri', 'Annie Q.', 'Nik Dodani', 'Fred Hechinger', 'Kathryn Erbe', 'Isabella Amara', 'Sophie Faulkenberry']",United States,"June 8, 2018",2018,TV-MA,100 min,"['comedy', 'drama', 'independent']",High school senior Alex Truelove's plan to lose his virginity to lovable girlfriend Claire goes awry when he meets the equally lovable Elliot.
s2490,Movie,Sayed the Servant,Hussein Kamal,"['Adel Imam', 'Omar El-Hariri', 'Raja Al-Jeddawi', 'Mostafa Mitwali', 'Moshira Ismail', 'Badr Nofal']",,"May 21, 2020",1985,TV-14,173 min,"['comedy', 'international']","While running from the law, Sayed begins to work as a house servant to a wealthy family, whose divorced daughter enlists his help in a marriage scheme."
s4496,TV Show,Marvel's Daredevil,,"['Charlie Cox', 'Deborah Ann Woll', 'Elden Henson', 'Rosario Dawson', ""Vincent D'Onofrio"", 'Jon Bernthal', 'Elodie Yung', 'Scott Glenn', 'Stephen Rider', 'Vondie Curtis-Hall', 'Ayelet Zurer', 'Toby Leonard Moore', 'Bob Gunton']",United States,"October 19, 2018",2018,TV-MA,3 Seasons,"['crime', 'action', 'adventure']","Blinded as a young boy, Matt Murdock fights injustice by day as a lawyer and by night as the Super Hero Daredevil in Hell's Kitchen, New York City."
s7718,Movie,Paulettante Veedu,Dileep Narayanan,"['Saikumar', 'Amal Unnithan', 'Manasa Radhakrishnan', 'K.P.A.C. Lalitha', 'Sudheer Karamana', 'Seema G. Nair']",India,"July 1, 2018",2016,TV-14,104 min,"['drama', 'international']","A wealthy businessman's miserly habits cause no small amount of stress and embarrassment to his family, particularly his daughter."
s3851,TV Show,The Missing Menu,,"['Frederick Lee', 'Jojo Goh', 'Karena Teo', 'Jeffrey Cheng', 'Janelle Chin']",,"May 8, 2019",2016,TV-PG,1 Season,"['international', 'drama']",A single mom and skilled chef yearns for her children to settle down and offers them life lessons through the special dishes she creates.
s3456,TV Show,Super Monsters,,"['Elyse Maloway', 'Vincent Tong', 'Erin Matthews', 'Andrea Libman', 'Alessandro Juliani', 'Nicole Anthony', 'Ian James Corlett', 'Britt McKillip', 'Kathleen Barr', 'Diana Kaarina']",,"October 4, 2019",2019,TV-Y,3 Seasons,['family'],Preschool kids whose parents are the world's most famous monsters try to master their special powers while preparing for kindergarten.
s2694,Movie,Love Wedding Repeat,Dean Craig,"['Sam Claflin', 'Olivia Munn', 'Freida Pinto', 'Eleanor Tomlinson', 'Joel Fry', 'Tim Key', 'Aisling Bea', 'Jack Farthing', 'Allan Mustafa']","United Kingdom, Italy","April 10, 2020",2020,TV-MA,101 min,"['comedy', 'international', 'romance']","Different versions of the same day unfold as Jack juggles difficult guests, unbridled chaos and potential romance at his sister's wedding."
s8149,TV Show,Tales of the City (1993),,"['Olympia Dukakis', 'Donald Moffat', 'Laura Linney', ""Marcus D'Amico"", 'Billy Campbell', 'Thomas Gibson', 'Paul Gross', 'Barbara Garrick', 'Chloe Webb', 'Nina Foch', 'Parker Posey', 'Stanley DeSantis']","United Kingdom, United States","June 28, 2019",1993,TV-MA,1 Season,['drama'],"In 1976, naive Mary Ann Singleton moves to San Francisco and finds a new family in her bohemian landlady and the eclectic residents at 28 Barbary Lane."
s8099,Movie,Story of an Egg,Raj B. Shetty,"['Raj B. Shetty', 'Usha Bhandary', 'Shailashree', 'Prakash Tuminadu', 'Amrutha Naik', 'Shreya Anchan', 'VJ Vineeth', 'Rahul Amin', 'Deepak Rai Panaje', 'Ramdas']",India,"October 15, 2017",2017,TV-PG,132 min,"['comedy', 'international', 'romance']","When an astrologer gives him one year to find a mate or face being alone forever, a professor sets out to find a bride despite serious obstacles."
s2322,Movie,George Lopez: We'll Do It For Half,Troy Miller,['George Lopez'],United States,"June 30, 2020",2020,TV-MA,52 min,['comedy'],"Comedian George Lopez tackles the future and the past of Latinx culture in America, touching on immigration, his tough relatives, aging and much more."
s5620,Movie,Heroes Wanted,Joaquín Mazón,"['María León', 'Miki Esparbé', 'Jordi Sánchez', 'Andoni Agirregomezkorta', 'Juan Carlos Aduviri', 'Sílvia Abril', 'Carlos Areces', 'Joaquín Reyes']",Spain,"February 1, 2017",2016,TV-MA,97 min,"['action', 'adventure', 'comedy', 'international']","When its special ops agency is wiped out, Spain hastily assembles a new team to defuse a terrorist plot. But who are these scrappy would-be heroes?"
s5561,Movie,The C Word,Meghan O'Hara,['Morgan Freeman'],United States,"March 24, 2017",2016,TV-14,93 min,['documentary'],"To solve the mystery of cancer, challenging the status quo is a must. Witness how lifestyle and societal changes may help beat the disease."
s7694,TV Show,Pacific Heat,,"['Rob Sitch', 'Santo Cilauro', 'Tom Gleisner', 'Rebecca Massey', 'Lucia Mastrantone']",Australia,"December 2, 2016",2016,TV-14,1 Season,"['crime', 'comedy']","In this animated satire, a covert squad of operatives short on smarts but long on confidence tackles crime on the glitzy Gold Coast of Australia."
s4250,Movie,Tom Papa Live in New York City,Rob Zombie,['Tom Papa'],United States,"December 31, 2018",2011,TV-14,57 min,['comedy'],"Comedian Tom Papa riffs on the trials of married life, fatherhood in the 21st century, domestic pets and more in his stand-up show."
s1138,Movie,The Knight and the Princess,Bashir El Deek,"['Sedky Sakhr', 'Hashem El Garhy', 'Shahira Kamal', 'Aiemzy', 'Hani R. Eskander', 'Saif Abu-Kandil']","Egypt, Saudi Arabia","April 1, 2021",2019,TV-PG,96 min,"['action', 'adventure', 'international', 'music']","A fictional account of the heroic quests of a 7th-century knight, from rescuing hostages abducted by pirates in the Indian Sea to taking on a tyrant."
s8797,TV Show,Yunus Emre,,"['Gökhan Atalay', 'Payidar Tüfekçioglu', 'Baran Akbulut', 'Mehmet Çepiç', 'Seda Tosun', 'Mehmet Ali Tuncer', 'Asuman Çakır', 'Müge Uyar', 'Rüzgar Aksoy', 'Ergun Taş', 'Sedat Erdiş', 'Ahmet Talay', 'Umut Tanyolu', 'Murat Ercanlı', 'Birand Tunca', 'Atilla Kiliç', 'Saygin Asan', 'Emrah Girgin']",Turkey,"January 17, 2017",2016,TV-PG,2 Seasons,"['international', 'drama']","During the Mongol invasions, Yunus Emre leaves his home to travel across the Ottoman Empire, defying hardships and temptations to become a dervish."
s6866,Movie,Golden Time,Takuya Inaba,,Japan,"November 1, 2017",2013,TV-Y,22 min,"['international', 'sci-fi', 'fantasy']","In the 1980s, a recently discarded television set from the 1960s refuses to accept its fate and tries to break out of the junkyard."
s3364,TV Show,Shine On with Reese,,['Reese Witherspoon'],United States,"October 29, 2019",2018,TV-MA,1 Season,"['documentary', 'comedy', 'talkshow']","In a talk show straight from the heart, actor and producer Reese Witherspoon visits with groundbreaking women to discuss their inspiring journeys."
s3256,TV Show,Who Killed Little Gregory?,,,France,"November 20, 2019",2019,TV-MA,1 Season,"['crime', 'documentary', 'international']","When their 4-year-old son is murdered, a young couple fights a twisting and arduous battle trying to identify a frustratingly elusive killer."
s6360,Movie,Boom,Kaizad Gustad,"['Amitabh Bachchan', 'Gulshan Grover', 'Jackie Shroff', 'Javed Jaffrey', 'Katrina Kaif', 'Madhu Sapre', 'Padma Lakshmi', 'Seema Biswas', 'Zeenat Aman', 'Boman Irani']",India,"March 1, 2018",2003,TV-MA,79 min,"['action', 'adventure', 'drama', 'international']","Following a fashion show mishap, three supermodels find themselves on the run from dangerous gangsters trying to recover a fortune in stolen diamonds."
s268,Movie,The Piano,Jane Campion,"['Holly Hunter', 'Harvey Keitel', 'Sam Neill', 'Anna Paquin', 'Kerry Walker', 'Genevieve Lemon', 'Tungia Baker', 'Ian Mune']","New Zealand, Australia, France, United States","August 15, 2021",1993,R,121 min,"['classic', 'drama', 'independent']","With her daughter and her beloved piano in tow, a mute Scottish woman arrives in New Zealand, where a gruff loner sets out to seduce her."
s1016,Movie,American Me,Edward James Olmos,"['Edward James Olmos', 'William Forsythe', 'Pepe Serna', 'Danny De La Paz', 'Evelina Fernandez', 'Cary-Hiroyuki Tagawa', 'Daniel Villarreal', 'Sal Lopez', 'Daniel Haro', 'Domingo Ambriz']",United States,"April 17, 2021",1992,R,126 min,['drama'],Three friends born in poverty create their own capitalist dream as powerful gang members. Time in prison makes one of them consider a fresh beginning.
s374,Movie,The Last Mercenary,David Charhon,"['Jean-Claude Van Damme', 'Alban Ivanov', 'Éric Judor', 'Patrick Timsit', 'Miou-Miou', 'Assa Sylla', 'Samir Decazza', 'Valérie Kaprisky', 'Djimo', 'Nassim Lyes']",,"July 30, 2021",2021,TV-MA,112 min,"['action', 'adventure', 'comedy', 'international']",A legendary secret agent-turned-mercenary comes out of hiding to save the son he's never met. Learning how to be a dad may be his toughest mission yet.
s1764,Movie,Piercing,Nicolas Pesce,"['Christopher Abbott', 'Mia Wasikowska', 'Laia Costa', 'Marin Ireland', 'Maria Dizzia', 'Wendell Pierce', 'Olivia Bond', 'Dakota Lustick']",United States,"November 1, 2020",2018,R,81 min,"['drama', 'independent', 'thriller']",A family man plots to kill a spellbinding sex worker but ends up in a psychosexual exercise to outwit his twisted target.
s3804,Movie,A Tale of Two Kitchens,Trisha Ziff,,"United States, Mexico","May 22, 2019",2019,TV-PG,30 min,"['documentary', 'international']","Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture."
s5381,TV Show,Dawn of the Croods,,"['Stephanie Lemelin', 'A.J. LoCascio', 'Dan Milano', 'Grey DeLisle', 'Cree Summer', 'Laraine Newman', 'Chris Parnell', 'Ana Gasteyer', 'Dee Bradley Baker', 'Thomas Lennon', 'Dominic Catrambone']",United States,"July 7, 2017",2017,TV-Y7,4 Seasons,['family'],"The world's first family is back for more laughs as they discover sports, sleepovers and other wonders in a world of exotic creatures and adventures."
s5238,TV Show,Equestria Girls: Tales of Canterlot High,,"['Tara Strong', 'Ashleigh Ball', 'Andrea Libman', 'Tabitha St. Germain', 'Cathy Weseluck', 'Rebecca Shoichet', 'Andrew Toth', 'Ali Liebert']","United States, Canada","October 1, 2017",2017,TV-Y7,1 Season,"['family', 'comedy']","In an alternate universe Equestria, the ponies have become teenage girls who must learn what it means to be human while attending Canterlot High."
s7493,Movie,Monster High: Freaky Fusion,"William Lau, Sylvain Blais","['Cam Clarke', 'Audu Paden', 'Laura Bailey', 'Cindy Robinson', 'Erin Fitzgerald', 'Kate Higgins', 'Salli Saffioti', 'Sue Swan', 'Haviland Stillwell', 'Paula Rhodes', 'America Young', 'Stephanie Sheh', 'Josey Montana McCoy']",United States,"January 30, 2018",2014,TV-Y7,74 min,['family'],"When Frankie Stein travels back in time, a teen scientist follows her home into the present and causes a lab accident that creates four new monsters."
s1783,TV Show,Suburra: Blood on Rome,,"['Alessandro Borghi', 'Giacomo Ferrara', 'Eduardo Valdarnini', 'Francesco Acquaroli', 'Filippo Nigro', 'Claudia Gerini', 'Adamo Dionisi', 'Barbara Chichiarelli', 'Federico Tocci', 'Gerasimos Skiadaresis', 'Elisabetta De Palo', 'Carlotta Antonelli', 'Renato Marchetti', 'Paola Sotgiu']",Italy,"October 30, 2020",2020,TV-MA,3 Seasons,"['crime', 'international', 'drama']","In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican."
s5954,Movie,Joseph: King of Dreams,"Rob LaDuca, Robert C. Ramirez","['Ben Affleck', 'Mark Hamill', 'Richard Herd', 'Maureen McGovern', 'Jodi Benson', 'Judith Light', 'James Eckhouse', 'Richard McGonagle', 'David Campbell', 'Steven Weber', 'Dan Castellaneta', 'Rene Auberjonois', 'Ken Hudson Campbell', 'Tom Virtue', 'Jeff Bennett']","United States, France, United Kingdom","September 27, 2011",2000,TV-PG,75 min,"['family', 'drama', 'faith']","With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story."
s7867,Movie,Rezeta,Fernando Frías De La Parra,"['Rezeta Veliu', 'Roger Mendoza', 'Emiliano Becerríl', 'Sebastián Cordova', 'Paulina Dávila']",Mexico,"December 3, 2016",2012,NR,84 min,"['drama', 'independent', 'international']","Gorgeous and free-spirited Albanian model Rezeta arrives in Mexico City, and soon uses her charms to take up a carefree new life in the metropolis."
s2451,TV Show,Midnight Diner,,"['Kaoru Kobayashi', 'Toshiki Ayata', 'Mansaku Fuwa', 'Yutaka Matsushige', 'Ken Mitsuishi', 'Shohei Uno', 'Takashi Yamanaka', 'Kiyofumi Kaneko', 'Risa Sudou', 'Asako Kobayashi', 'Nahoko Yoshimoto', 'Joe Odagiri']",Japan,"June 1, 2020",2014,TV-MA,3 Seasons,"['international', 'drama']","A scarred man operates a midnight diner in the backstreets of Shinjuku. No one knows his name or his story, but his customers each bring him theirs."
s5499,Movie,A Yellow Bird,K. Rajagopal,"['Sivakumar Palakrishnan', 'Huang Lu', 'Seema Biswas', 'Udaya Soundari', 'Nithiyia Rao', 'Indra Chandran']","Singapore, France","May 1, 2017",2016,TV-MA,111 min,"['drama', 'independent', 'international']","In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard."
s2915,Movie,Isi & Ossi,Oliver Kienle,"['Lisa Vicari', 'Dennis Mojen', 'Walid Al-Atiyat', 'Christina Hecke', 'Zoë Straub', 'Lisa Hagmeister', 'Hans-Jochen Wagner', 'André Eisermann', 'Ernst Stötzner']",Germany,"February 14, 2020",2020,TV-MA,113 min,"['comedy', 'international', 'romance']",A billionaire's daughter fakes a relationship with a cash-strapped boxer in order to coerce her parents into letting her pursue her culinary dreams.
s7920,Movie,Saeed Mirza: The Leftist Sufi,"Kireet Khurana, Padmakumar Narasimhamurthy",['Saeed Akhtar Mirza'],India,"May 1, 2017",2016,TV-MA,61 min,"['documentary', 'international']",This documentary profiles the celebrated Hindi film director known as much for his embrace of leftist politics and social concerns as lyrical cinema.
s5658,Movie,Garfunkel and Oates: Trying to be Special,"Riki Lindhome, Jeremy Konner","['Riki Lindhome', 'Kate Micucci', 'Anthony Jeselnik', 'Steve Agee']",United States,"December 23, 2016",2016,TV-MA,62 min,"['music', 'comedy']",Garfunkel and Oates put on a surprise-filled show in Seattle in hopes of raising enough money to make their own comedy special.
s7856,Movie,Rememory,Mark Palansky,"['Peter Dinklage', 'Julia Ormond', 'Martin Donovan', 'Anton Yelchin', 'Henry Ian Cusick', 'Evelyne Brochu', 'Matt Ellis', 'Colin Lawrence', 'Chad Krowchuk', 'Gracyn Shinyei']","United Kingdom, United States, Canada","June 1, 2020",2017,PG-13,112 min,"['drama', 'sci-fi', 'fantasy']","A psychologist is murdered after unveiling a breakthrough invention that extracts memories, spurring a fixated former patient to hunt for answers."
s6901,Movie,Gun Runners,Anjali Nayar,,Canada,"February 1, 2017",2015,TV-PG,90 min,"['documentary', 'international', 'sport']",Two roaming Kenyan bandits attempt to change the course of their lives by exchanging their rifles for running shoes.
s3393,Movie,10 Days in Sun City,Adze Ugah,"['Ayo Makun', 'Adesua Etomi', 'Richard Mofe-Damijo', 'Mercy Johnson', 'Falz', 'Tuface Idibia', 'Thenjiwe Moseley', 'Motlatsi Mafatshe', 'Celeste Ntuli', 'Miguel A. Núñez Jr.']","South Africa, Nigeria","October 18, 2019",2017,TV-14,87 min,"['comedy', 'international', 'romance']","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa."
s1874,TV Show,The Haunting of Bly Manor,,"['Victoria Pedretti', 'Oliver Jackson-Cohen', 'Henry Thomas', 'Amelia Eve', ""T'Nia Miller"", 'Rahul Kohli', 'Tahirah Sharif', 'Amelie Bea Smith', 'Benjamin Evan Ainsworth']",United States,"October 9, 2020",2020,TV-MA,1 Season,"['drama', 'horror', 'mystery']","Dead doesn't mean gone. An au pair plunges into an abyss of chilling secrets in this gothic romance from the creator of ""The Haunting of Hill House."""
s4372,TV Show,Kulipari: Dream Walker,,"['Charlie Adler', 'Mark Hamill', 'Jess Harnell', 'Phil LaMarr', 'Josh Keaton', 'Mikey Kelley', 'Amy Margolis', 'Wendie Malick', 'Kevin Michael Richardson', 'Candi Milo', 'Laraine Newman']",,"November 20, 2018",2018,TV-Y7,1 Season,['family'],"Now the Blue Sky King, Darel must lead a rescue mission to save a Dream Walker – leaving the village under the protection of the Kulipari youth."
s5209,TV Show,Haters Back Off,,"['Colleen Ballinger', 'Angela Kinsey', 'Steve Little', 'Francesca Reale', 'Erik Stocklin', 'Matt Besser']",United States,"October 20, 2017",2017,TV-PG,2 Seasons,"['comedy', 'teen']","Determined to make it big, the confident but clueless Miranda Sings embarks on an unlikely quest for fame in this offbeat comedy."
s4460,Movie,Sigaram Thodu,Gaurav Narayanan,"['Vikram Prabhu', 'Sathyaraj', 'Monal Gajjar', 'Sathish', 'Erode Mahesh', 'Gaurav Narayanan']",India,"November 1, 2018",2014,TV-14,141 min,"['drama', 'international', 'thriller']",A policeman's son overcomes his reluctance to join the force following a brutal attack on his father and ends up in the middle of a robbery case.
s7099,TV Show,Iron Man: Armored Adventures,,"['Adrian Petriw', 'Daniel Bacon', 'Anna Cummer', 'Vincent Tong', 'Kristie Marsden', 'Mackenzie Gray', 'Lisa Ann Beley', 'Alistair Abell', 'Catherine Lough Haggquist', 'Fred Henderson']","Canada, United States, United Kingdom, France, Luxembourg","August 1, 2020",2011,TV-Y7,2 Seasons,['family'],Teen phenom Tony Stark takes to the skies with an ingeniously engineered suit of armor to learn the truth about his father's mysterious death.
s4387,Movie,The Princess Switch,,"['Vanessa Hudgens', 'Sam Palladio', 'Nick Sagar', 'Suanne Braun', 'Mark Fleischmann', 'Amy Griffiths', 'Sara Stewart', 'Pavel Douglas', 'Robin Soans', 'Calliope Taylor', 'Natali Yura', 'Alexa Adeosun']",United States,"November 16, 2018",2018,TV-G,102 min,"['family', 'drama', 'romance']","When a down-to-earth Chicago baker and a soon-to-be princess discover they look like twins, they hatch a Christmastime plan to trade places."
s3964,Movie,Bayonet,Kyzza Terrazas,"['Luis Gerardo Méndez', 'Brontis Jodorowsky', 'Joonas Saartamo', 'Laura Birn', 'Ilkka Koivula', 'Ville Virtanen', 'Raúl Villegas', 'Miriam Balderas', 'Ximena Guzmán']","Mexico, Finland","March 29, 2019",2019,TV-MA,102 min,"['drama', 'international', 'sport']","Alone in Finland, a retired Mexican boxer lives in desolation under the weight of an agonizing past, until he gets a shot at redemption in the ring."
s5896,TV Show,Wakfu: The Quest for the Six Eliatrope Dofus,,"['Fanny Bloc', 'Jules De Jongh', 'Patrick Béthune', 'Hugo Chandor', 'Adeline Chetail', 'Jessica Bell', 'Thomas Guitard', 'Ross Grant', 'Geneviève Doang']",,"October 1, 2015",2014,TV-PG,1 Season,['family'],"Six years after Yugo and his team defeat Qilby, Ogrest's crying floods Amalia's kingdom. To stop him, they must find the six missing Eliatrope Dofus."
s1923,TV Show,The Parkers,,"[""Mo'Nique"", 'Countess Vaughn', 'Dorien Wilson', 'Jenna von Oÿ', 'Ken Lawson', 'Yvette Wilson']",United States,"October 1, 2020",2003,TV-PG,5 Seasons,['comedy'],"In this ""Moesha"" spinoff, undergraduate Kim is joined at Santa Monica College by her mother Nikki, who decides to go back to school with her daughter."
s3906,Movie,A Little Chaos,Alan Rickman,"['Kate Winslet', 'Matthias Schoenaerts', 'Alan Rickman', 'Stanley Tucci', 'Helen McCrory', 'Steven Waddington', 'Jennifer Ehle', 'Rupert Penry-Jones', 'Paula Paul', 'Danny Webb', 'Phyllida Law']",United Kingdom,"April 17, 2019",2014,R,113 min,"['drama', 'independent', 'international']","A willful young woman is hired to design a garden at Versailles for Louis XIV. Soon, she's ensnared in political and romantic complications."
